hhid,region,langue,s05q01,s05q02,s05q03,s05q03_autre,s05q04,s05q04_autre,s05q05,s05q06,s05q07,s05q07a,s04q7a_autre,s05q08,s05q08a,s05q09__0,s05q09__1,s05q09__2,s05q09__3,s05q09__4,s05q09__5,s05q09__6,s05q09__7,s05q09__8,s05q09__9,s05q09__10,s05q09__11,s05q09__12,s05q09__13,s05q09__14,s05q09__15,s05q09__16,s05q09__17,s05q09__18,s05q09__19,s05q09__20,s05q09__21,s05q09__22,s05q09__23,s05q09__24,s05q09__25,s05q09__26,s05q09__27,s05q09__28,s05q09__29,s05q09__30,s05q09__31,s05q09__32,s05q09__33,s05q09__34,s05q09__35,s05q09__36,s05q09__37,s05q09__38,s05q09__39,s05q09__40,s05q09__41,s05q09__42,s05q09__43,s05q09__44,s05q09__45,s05q09__46,s05q09__47,s05q09__48,s05q09__49,s05q09__50,s05q09__51,s05q09__52,s05q09__53,s05q09__54,s05q09__55,s05q09__56,s05q09__57,s05q09__58,s05q09__59,s05q10,s05q11,s05q12,s05q13,s05q13_autre,s05q14,s05q15,s05q16,s05q16_autre,s05q17,s05q18,s05q19,s05q20,s05q21,s05q22,s00q01,s00q04,p0,hhweight_covid,domaine_residence
6600006,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Mopti,Rural,Pauvres,2288.236083984375,Rural
6600008,Mopti,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,2214.080322265625,Rural
6600010,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,OUI,RESTE LES MEMES,AU MEME RYTHME,NON,,,Mopti,Rural,Pauvres,2288.236083984375,Rural
6600011,Mopti,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,"AUTRE, SPECIFIER","A cause des djihadiste nous n'avons plus de betails pour cultiver, ils nous ont prix tous nos vaches.",NON,,,NON,,,Mopti,Rural,Non Pauvres,2214.080322265625,Rural
6630001,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,2310.15478515625,Rural
6630003,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Mopti,Rural,Pauvres,2387.528564453125,Rural
6630004,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Mopti,Rural,Pauvres,2387.528564453125,Rural
6630011,Mopti,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,2387.528564453125,Rural
6640007,Mopti,Bambara/Malinké,NON,OUI,COVID-19,,AGRICULTURE,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,CONSEILLE DE RESTER A LA MAISON,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Mopti,Urbain,Pauvres,566.96429443359375,Autres_urbains
6660003,Mopti,Dogon,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,3190.8935546875,Rural
6660005,Mopti,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,SERVICES PERSONNELS,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,OUI,RESTE LES MEMES,AU MEME RYTHME,OUI,RESTE LE MEME,AU MEME RYTHME,Mopti,Rural,Pauvres,3190.8935546875,Rural
6660006,Mopti,Dogon,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,3087.485107421875,Rural
6660008,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,OUI,RESTE LE MEME,AU MEME RYTHME,Mopti,Rural,Non Pauvres,3087.485107421875,Rural
6660009,Mopti,Dogon,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,FERMETURE SAISONNIERE,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,3190.8935546875,Rural
6670005,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,"AUTRE, SPECIFIER",Manque de moyen,NON,,,NON,,,Mopti,Rural,Pauvres,4355.32177734375,Rural
6670010,Mopti,Peulh/Foulfoulbé,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,4355.32177734375,Rural
6680004,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,2608.6796875,Rural
6700001,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Mopti,Rural,Pauvres,2730.538330078125,Rural
6700008,Mopti,Bambara/Malinké,NON,OUI,RETRAITE,,AGRICULTURE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Mopti,Rural,Non Pauvres,2642.048828125,Rural
6710004,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,2541.607177734375,Rural
6710012,Mopti,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,COMMERCE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Mopti,Rural,Pauvres,2626.732666015625,Rural
6720001,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Mopti,Urbain,Pauvres,814.5120849609375,Autres_urbains
6720002,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,NON,,,,NON,,,NON,,,Mopti,Urbain,Non Pauvres,604.32080078125,Autres_urbains
6720003,Mopti,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Mopti,Urbain,Pauvres,814.5120849609375,Autres_urbains
6740004,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,3083.117919921875,Rural
6750002,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,3353.371826171875,Rural
6750005,Mopti,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Plus élevé que d'habitude,,,NON,,,,NON,,,NON,,,Mopti,Rural,Pauvres,3353.371826171875,Rural
6750008,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,3353.371826171875,Rural
6760006,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,681.2554931640625,Rural
6760011,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,704.07269287109375,Rural
6770008,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,NON,,,,NON,,,NON,,,Mopti,Rural,Pauvres,3800.187255859375,Rural
6770009,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,3677.032958984375,Rural
6810002,Mopti,Français,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,INDUSTRIE,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,OUI,BAISSE,MOINS FREQUEMMENT,OUI,RESTE LE MEME,AU MEME RYTHME,Mopti,Rural,Pauvres,2270.18310546875,Rural
6840004,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,8528.794921875,Rural
6840008,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,8528.794921875,Rural
6850009,Mopti,Peulh/Foulfoulbé,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Urbain,Non Pauvres,728.7398681640625,Autres_urbains
6850012,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Urbain,Non Pauvres,728.7398681640625,Autres_urbains
6880007,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,2604.166259765625,Rural
6880010,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Mopti,Rural,Pauvres,2604.166259765625,Rural
6890003,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,MANQUE DE MATIERES PREMIERES,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,834.101318359375,Rural
6890004,Mopti,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,834.101318359375,Rural
6890011,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Inférieur à d'habitude,FERMETURE DE L'ETABLISSEMENT POUR UNE AUTRE RAISON,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,834.101318359375,Rural
6910001,Mopti,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,OUI,RESTE LE MEME,AU MEME RYTHME,Mopti,Rural,Pauvres,2428.148193359375,Rural
6910003,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,2349.4580078125,Rural
6910006,Mopti,Bambara/Malinké,NON,OUI,"AUTRE, SPECIFIER",tisserand,"AUTRE, SPECIFIER",tisserand,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,2349.4580078125,Rural
6910012,Mopti,Bambara/Malinké,NON,OUI,COVID-19,,COMMERCE,,,,,,,NON,OUI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,2428.148193359375,Rural
6920011,Mopti,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,2992.30908203125,Rural
6930002,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,OUI,BAISSE,MOINS FREQUEMMENT,NON,,,Mopti,Rural,Pauvres,857.5244140625,Rural
6930003,Mopti,Bambara/Malinké,NON,OUI,TRAVAIL SAISONNIER,,AGRICULTURE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Inférieur à d'habitude,AUCUN CLIENT,,OUI,NON,IMPOSSIBLE DE VENDRE OU TRANSPORTER LA PRODUCTION,,NON,,,NON,,,Mopti,Rural,Non Pauvres,829.7342529296875,Rural
6930006,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,OUI,OUI,,,OUI,AUGMENTE,MOINS FREQUEMMENT,NON,,,Mopti,Rural,Non Pauvres,829.7342529296875,Rural
6930007,Mopti,Peulh/Foulfoulbé,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,857.5244140625,Rural
6940005,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,NON,TRAVAIL SAISONNIER,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Mopti,Rural,Non Pauvres,2008.830322265625,Rural
6950011,Mopti,Bambara/Malinké,NON,OUI,COVID-19,,AGRICULTURE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,6273.46826171875,Rural
6960005,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,OUI,RESTE LE MEME,AU MEME RYTHME,Mopti,Urbain,Pauvres,1185.833740234375,Autres_urbains
6960012,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,"AUTRE, SPECIFIER",insecurite sur la route,OUI,NON,RESTRICTION DE DEPLACEMENT / VOYAGE,,OUI,AUGMENTE,PLUS FREQUEMMENT,OUI,AUGMENTE,AU MEME RYTHME,Mopti,Urbain,Non Pauvres,879.820068359375,Autres_urbains
6970009,Mopti,Bambara/Malinké,NON,OUI,ACTIVITE A l'ARRET(ENTREPRISE ou ADMINISTRATION),,"AUTRE, SPECIFIER",enseignants,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NE SAIT PAS,,,NE SAIT PAS,,,Mopti,Urbain,Non Pauvres,234.02621459960937,Autres_urbains
6970012,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Plus élevé que d'habitude,,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Mopti,Urbain,Non Pauvres,234.02621459960937,Autres_urbains
7060009,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,FERMETURE DE L'ETABLISSEMENT POUR UNE AUTRE RAISON,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,2567.809326171875,Rural
7060011,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,2567.809326171875,Rural
7060012,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,NON,,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,2567.809326171875,Rural
7080001,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Pauvres,2513.900634765625,Rural
7080010,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Plus élevé que d'habitude,,,NON,,,,NON,,,NON,,,Mopti,Rural,Pauvres,2513.900634765625,Rural
7080012,Mopti,Dogon,OUI,,,,,,Pour votre propre compte,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,2432.431640625,Rural
7140002,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,NON,,,NON,,,Mopti,Urbain,Non Pauvres,900.55657958984375,Autres_urbains
7140003,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Urbain,Non Pauvres,900.55657958984375,Autres_urbains
7140004,Mopti,Bambara/Malinké,NON,OUI,COVID-19,,SANTE,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON,,,,,OUI,OUI,,,NON,,,NON,,,Mopti,Urbain,Non Pauvres,900.55657958984375,Autres_urbains
7140011,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,NON,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,NON,TRAVAIL SAISONNIER,,NON,,,NON,,,Mopti,Urbain,Pauvres,1213.78271484375,Autres_urbains
7150008,Mopti,Bambara/Malinké,OUI,,,,,,Pour votre propre compte,,,,,NON,OUI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,AUCUN CLIENT,,OUI,OUI,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,1799.21337890625,Rural
7150009,Mopti,Bambara/Malinké,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,NON,,,,NON,,,NON,,,Mopti,Rural,Non Pauvres,1799.21337890625,Rural
7160011,Mopti,Dogon,NON,NON,,,,,,,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Inférieur à d'habitude,MANQUE DE MATIERES PREMIERES,,OUI,OUI,,,NON,,,OUI,RESTE LE MEME,AU MEME RYTHME,Mopti,Rural,Pauvres,907.17059326171875,Rural
7190005,Mopti,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,SERVICES,Identique,,,OUI,OUI,,,OUI,RESTE LES MEMES,MOINS FREQUEMMENT,NON,,,Mopti,Urbain,Non Pauvres,536.1866455078125,Autres_urbains
7190008,Mopti,Bambara/Malinké,OUI,,,,,,En tant que salarié,OUI,,,,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUI,AGRICULTURE,Identique,,,NON,,,,NON,,,NON,,,Mopti,Urbain,Non Pauvres,536.1866455078125,Autres_urbains
